appln_id,appln_auth,docdb_family_id,YR_PUB,SQ_APLS,CA_GRANT,REGION,SQ_SCOPE,LN_FAMSIZE,CA_NPL
57948457,US,38846951,2009,1,1,2,1,2,4
57948458,US,38344885,2009,1,0,2,1,3,0
57949795,US,40301416,2009,0,0,2,1,1,0
57949796,US,39767154,2009,1,1,2,2,1,2
58074139,US,40352726,2009,1,1,2,1,2,0
58075510,US,40668462,2009,1,1,2,1,1,2
58077244,US,40931868,2009,1,0,1,1,1,0
58118043,US,39020544,2009,1,1,2,1,2,3
58119789,US,40602351,2009,1,1,2,2,2,5
266713852,US,37683696,2009,1,1,2,1,2,0
266713854,US,40352651,2009,1,1,2,1,2,0
266713855,US,40954403,2009,1,1,1,1,1,0
266713856,US,40954404,2009,1,1,1,1,1,0
266715552,US,40951361,2009,1,1,1,1,1,0
266850634,US,40469918,2009,1,0,2,1,1,0
266850636,US,40352709,2009,1,1,2,1,2,0
266850637,US,40352713,2009,1,1,2,1,2,0
266850638,US,40469814,2009,1,1,2,3,2,3
266902926,US,41009143,2009,1,1,1,1,1,0
266902988,US,41009191,2009,1,1,1,2,1,0
266938861,US,41010423,2009,1,1,2,2,1,0
266938862,US,40456345,2009,1,1,2,1,1,0
266940345,US,40456174,2009,1,1,2,1,1,3
267078265,US,41010471,2009,1,1,2,2,1,0
267079479,US,38778155,2009,1,1,2,1,2,3
267079480,US,40467344,2009,1,1,2,1,2,4
267147683,EP,40019714,2010,1,0,1,1,1,0
267286466,US,41010469,2009,1,1,2,1,1,0
267288417,US,41011945,2009,1,0,2,1,1,0
267288433,US,40548680,2009,1,1,2,2,1,1
267294794,US,39364868,2009,1,1,2,2,2,4
267459603,US,40810593,2009,1,1,2,1,1,0
267461210,US,41012222,2009,1,1,2,1,1,0
267461211,US,38666822,2009,1,1,2,1,2,1
267461213,US,40901771,2009,1,1,2,1,1,0
267463910,US,41010297,2009,1,1,2,1,1,0
267465114,EP,42060164,2010,1,0,1,1,1,0
267476163,US,34139873,2009,1,1,2,2,2,0
267509536,US,39492648,2009,1,1,2,1,2,4
